Trade #,Type,Signal,Date/Time,Price PLN,Contracts,Profit PLN,Profit %,Cum. Profit PLN,Cum. Profit %,Run-up PLN,Run-up %,Drawdown PLN,Drawdown %
959,Entry Short,Short,2024-10-10 20:30,3.93900,1,0.02,0.38,4.64,0.00,0.02,0.45,0.0001,0.00
958,Exit Long,Close entry(s) order Long,2024-10-10 20:30,3.94100,1,0.002,0.05,4.62,0.00,0.004,0.10,0,0.00
958,Entry Long,Long,2024-10-10 19:30,3.93900,1,0.002,0.05,4.62,0.00,0.004,0.10,0,0.00
957,Exit Long,Close entry(s) order Long,2024-10-10 19:30,3.93800,1,0.003,0.08,4.62,0.00,0.005,0.13,0,0.00
957,Entry Long,Long,2024-10-10 17:00,3.93500,1,0.003,0.08,4.62,0.00,0.005,0.13,0,0.00
956,Exit Short,Long,2024-10-10 17:00,3.93500,1,-0.003,-0.08,4.62,0.00,0.002,0.05,0.003,0.08
956,Entry Short,Short,2024-10-10 16:00,3.93200,1,-0.003,-0.08,4.62,0.00,0.002,0.05,0.003,0.08
955,Exit Long,Close entry(s) order Long,2024-10-10 15:30,3.93600,1,0.01,0.20,4.62,0.00,0.01,0.29,0,0.00
955,Entry Long,Long,2024-10-10 10:00,3.92800,1,0.01,0.20,4.62,0.00,0.01,0.29,0,0.00
954,Exit Long,Close entry(s) order Long,2024-10-10 06:00,3.92700,1,0.01,0.18,4.61,0.00,0.01,0.26,0,0.00
954,Entry Long,Long,2024-10-09 14:30,3.92000,1,0.01,0.18,4.61,0.00,0.01,0.26,0,0.00
953,Exit Short,Close entry(s) order Short,2024-10-09 14:00,3.91800,1,0.01,0.15,4.61,0.00,0.01,0.23,0,0.00
953,Entry Short,Short,2024-10-09 12:00,3.92400,1,0.01,0.15,4.61,0.00,0.01,0.23,0,0.00
952,Exit Long,Close entry(s) order Long,2024-10-09 12:00,3.92600,1,0.002,0.05,4.60,0.00,0.01,0.15,0,0.00
952,Entry Long,Long,2024-10-09 09:00,3.92400,1,0.002,0.05,4.60,0.00,0.01,0.15,0,0.00
951,Exit Short,Close entry(s) order Short,2024-10-09 07:00,3.92200,1,0,0.00,4.60,0.00,0.004,0.10,0.001,0.02
951,Entry Short,Short,2024-10-08 19:00,3.92200,1,0,0.00,4.60,0.00,0.004,0.10,0.001,0.02
950,Exit Short,Close entry(s) order Short,2024-10-08 15:30,3.92400,1,0.02,0.41,4.60,0.00,0.02,0.46,0,0.00
950,Entry Short,Short,2024-10-08 00:00,3.94000,1,0.02,0.41,4.60,0.00,0.02,0.46,0,0.00
949,Exit Short,Close entry(s) order Short,2024-10-07 21:30,3.94100,1,0.001,0.03,4.58,0.00,0.01,0.15,0,0.00
949,Entry Short,Short,2024-10-07 14:00,3.94200,1,0.001,0.03,4.58,0.00,0.01,0.15,0,0.00
948,Exit Long,Short,2024-10-07 14:00,3.94200,1,0,0.00,4.58,0.00,0.003,0.08,0,0.00
948,Entry Long,Long,2024-10-07 12:00,3.94200,1,0,0.00,4.58,0.00,0.003,0.08,0,0.00
947,Exit Short,Close entry(s) order Short,2024-10-07 12:00,3.93600,1,0,0.00,4.58,0.00,0.003,0.08,0,0.00
947,Entry Short,Short,2024-10-07 08:30,3.93600,1,0,0.00,4.58,0.00,0.003,0.08,0,0.00
946,Exit Short,Close entry(s) order Short,2024-10-07 08:00,3.93700,1,0.001,0.03,4.58,0.00,0.01,0.15,0,0.00
946,Entry Short,Short,2024-10-04 20:30,3.93800,1,0.001,0.03,4.58,0.00,0.01,0.15,0,0.00
945,Exit Long,Close entry(s) order Long,2024-10-04 16:30,3.93500,1,0.02,0.56,4.58,0.00,0.02,0.61,0,0.00
945,Entry Long,Long,2024-10-04 15:30,3.91300,1,0.02,0.56,4.58,0.00,0.02,0.61,0,0.00
944,Exit Short,Long,2024-10-04 15:30,3.91300,1,-0.001,-0.03,4.56,0.00,0.001,0.03,0.001,0.03
944,Entry Short,Short,2024-10-04 15:30,3.91200,1,-0.001,-0.03,4.56,0.00,0.001,0.03,0.001,0.03
943,Exit Long,Short,2024-10-04 15:30,3.91200,1,0.002,0.05,4.56,0.00,0.004,0.10,0,0.00
943,Entry Long,Long,2024-10-04 11:30,3.91000,1,0.002,0.05,4.56,0.00,0.004,0.10,0,0.00
942,Exit Short,Close entry(s) order Short,2024-10-04 11:00,3.90700,1,0,0.00,4.56,0.00,0.004,0.11,0,0.00
942,Entry Short,Short,2024-10-03 19:30,3.90700,1,0,0.00,4.56,0.00,0.004,0.11,0,0.00
941,Exit Long,Close entry(s) order Long,2024-10-03 19:00,3.90900,1,0.01,0.28,4.56,0.00,0.01,0.36,0,0.00
941,Entry Long,Long,2024-10-03 13:30,3.89800,1,0.01,0.28,4.56,0.00,0.01,0.36,0,0.00
940,Exit Short,Long,2024-10-03 13:30,3.89800,1,-0.004,-0.10,4.55,0.00,0.003,0.07,0.004,0.10
940,Entry Short,Short,2024-10-03 09:30,3.89400,1,-0.004,-0.10,4.55,0.00,0.003,0.07,0.004,0.10
939,Exit Long,Short,2024-10-03 09:30,3.89400,1,0,0.00,4.55,0.00,0.003,0.08,0,0.00
939,Entry Long,Long,2024-10-03 08:00,3.89400,1,0,0.00,4.55,0.00,0.003,0.08,0,0.00
938,Exit Short,Close entry(s) order Short,2024-10-03 05:00,3.89100,1,-0.001,-0.03,4.55,0.00,0.004,0.10,0.001,0.03
938,Entry Short,Short,2024-10-02 18:30,3.89000,1,-0.001,-0.03,4.55,0.00,0.004,0.10,0.001,0.03
937,Exit Long,Close entry(s) order Long,2024-10-02 18:00,3.89100,1,0.01,0.18,4.55,0.00,0.01,0.23,0,0.00
937,Entry Long,Long,2024-10-02 16:00,3.88400,1,0.01,0.18,4.55,0.00,0.01,0.23,0,0.00
936,Exit Short,Close entry(s) order Short,2024-10-02 15:00,3.88100,1,-0.002,-0.05,4.55,0.00,0.001,0.03,0.002,0.05
936,Entry Short,Short,2024-10-02 14:30,3.87900,1,-0.002,-0.05,4.55,0.00,0.001,0.03,0.002,0.05
935,Exit Long,Short,2024-10-02 14:30,3.87900,1,-0.002,-0.05,4.55,0.00,0.001,0.03,0.002,0.05
935,Entry Long,Long,2024-10-02 12:00,3.88100,1,-0.002,-0.05,4.55,0.00,0.001,0.03,0.002,0.05
934,Exit Short,Close entry(s) order Short,2024-10-02 10:30,3.87600,1,-0.001,-0.03,4.55,0.00,0.001,0.04,0.001,0.03
934,Entry Short,Short,2024-10-02 10:30,3.87500,1,-0.001,-0.03,4.55,0.00,0.001,0.04,0.001,0.03
933,Exit Short,Close entry(s) order Short,2024-10-02 08:00,3.87500,1,0.001,0.03,4.55,0.00,0.005,0.13,0,0.00
933,Entry Short,Short,2024-10-01 21:00,3.87600,1,0.001,0.03,4.55,0.00,0.005,0.13,0,0.00
932,Exit Long,Close entry(s) order Long,2024-10-01 20:30,3.87900,1,0.03,0.78,4.55,0.00,0.03,0.83,0,0.00
932,Entry Long,Long,2024-10-01 10:00,3.84900,1,0.03,0.78,4.55,0.00,0.03,0.83,0,0.00
931,Exit Short,Close entry(s) order Short,2024-10-01 10:00,3.84800,1,-0.001,-0.03,4.52,0.00,0.003,0.08,0.001,0.03
931,Entry Short,Short,2024-10-01 00:30,3.84700,1,-0.001,-0.03,4.52,0.00,0.003,0.08,0.001,0.03
930,Exit Long,Close entry(s) order Long,2024-10-01 00:00,3.84800,1,-0.001,-0.03,4.52,0.00,0,0.00,0.001,0.03
930,Entry Long,Long,2024-09-30 23:00,3.84900,1,-0.001,-0.03,4.52,0.00,0,0.00,0.001,0.03
929,Exit Long,Close entry(s) order Long,2024-09-30 22:00,3.84800,1,0.004,0.10,4.52,0.00,0.01,0.16,0,0.00
929,Entry Long,Long,2024-09-30 21:00,3.84400,1,0.004,0.10,4.52,0.00,0.01,0.16,0,0.00
928,Exit Short,Long,2024-09-30 21:00,3.84400,1,-0.005,-0.13,4.52,0.00,0.001,0.04,0.005,0.13
928,Entry Short,Short,2024-09-30 21:00,3.83900,1,-0.005,-0.13,4.52,0.00,0.001,0.04,0.005,0.13
927,Exit Long,Close entry(s) order Long,2024-09-30 19:30,3.84200,1,0.001,0.03,4.52,0.00,0.003,0.08,0,0.00
927,Entry Long,Long,2024-09-30 18:30,3.84100,1,0.001,0.03,4.52,0.00,0.003,0.08,0,0.00
926,Exit Long,Close entry(s) order Long,2024-09-30 17:30,3.83800,1,0.01,0.34,4.52,0.00,0.02,0.39,0,0.00
926,Entry Long,Long,2024-09-30 16:00,3.82500,1,0.01,0.34,4.52,0.00,0.02,0.39,0,0.00
925,Exit Short,Close entry(s) order Short,2024-09-30 13:00,3.82200,1,0.005,0.13,4.51,0.00,0.01,0.21,0,0.00
925,Entry Short,Short,2024-09-30 08:30,3.82700,1,0.005,0.13,4.51,0.00,0.01,0.21,0,0.00
924,Exit Long,Close entry(s) order Long,2024-09-30 08:00,3.82900,1,-0.001,-0.03,4.50,0.00,0.002,0.05,0.001,0.03
924,Entry Long,Long,2024-09-30 05:00,3.83000,1,-0.001,-0.03,4.50,0.00,0.002,0.05,0.001,0.03
923,Exit Short,Long,2024-09-30 05:00,3.83000,1,-0.004,-0.10,4.50,0.00,0.001,0.03,0.004,0.10
923,Entry Short,Short,2024-09-30 01:00,3.82600,1,-0.004,-0.10,4.50,0.00,0.001,0.03,0.004,0.10
922,Exit Long,Close entry(s) order Long,2024-09-30 01:00,3.82900,1,-0.001,-0.03,4.51,0.00,0,0.00,0.001,0.03
922,Entry Long,Long,2024-09-27 21:30,3.83000,1,-0.001,-0.03,4.51,0.00,0,0.00,0.001,0.03
921,Exit Long,Close entry(s) order Long,2024-09-27 21:00,3.83000,1,0.01,0.18,4.51,0.00,0.01,0.24,0,0.00
921,Entry Long,Long,2024-09-27 18:00,3.82300,1,0.01,0.18,4.51,0.00,0.01,0.24,0,0.00
920,Exit Short,Close entry(s) order Short,2024-09-27 16:00,3.81700,1,0.02,0.47,4.50,0.00,0.02,0.52,0,0.00
920,Entry Short,Short,2024-09-27 13:00,3.83500,1,0.02,0.47,4.50,0.00,0.02,0.52,0,0.00
919,Exit Long,Close entry(s) order Long,2024-09-27 12:30,3.83700,1,0.01,0.18,4.48,0.00,0.01,0.26,0.002,0.04
919,Entry Long,Long,2024-09-27 08:00,3.83000,1,0.01,0.18,4.48,0.00,0.01,0.26,0.002,0.04
918,Exit Short,Close entry(s) order Short,2024-09-27 03:30,3.82600,1,0,0.00,4.48,0.00,0.003,0.07,0,0.00
918,Entry Short,Short,2024-09-26 20:30,3.82600,1,0,0.00,4.48,0.00,0.003,0.07,0,0.00
917,Exit Short,Close entry(s) order Short,2024-09-26 20:30,3.82700,1,0.005,0.13,4.48,0.00,0.01,0.21,0,0.00
917,Entry Short,Short,2024-09-26 17:30,3.83200,1,0.005,0.13,4.48,0.00,0.01,0.21,0,0.00
916,Exit Long,Short,2024-09-26 17:30,3.83200,1,0.001,0.03,4.47,0.00,0.005,0.13,0,0.00
916,Entry Long,Long,2024-09-26 16:30,3.83100,1,0.001,0.03,4.47,0.00,0.005,0.13,0,0.00
915,Exit Short,Close entry(s) order Short,2024-09-26 16:30,3.83000,1,-0.001,-0.03,4.47,0.00,0.003,0.08,0.001,0.03
915,Entry Short,Short,2024-09-26 15:00,3.82900,1,-0.001,-0.03,4.47,0.00,0.003,0.08,0.001,0.03
914,Exit Long,Short,2024-09-26 15:00,3.82900,1,-0.001,-0.03,4.47,0.00,0.003,0.08,0.001,0.03
914,Entry Long,Long,2024-09-26 10:30,3.83000,1,-0.001,-0.03,4.47,0.00,0.003,0.08,0.001,0.03
913,Exit Short,Close entry(s) order Short,2024-09-26 10:30,3.82900,1,0,0.00,4.47,0.00,0.005,0.13,0,0.00
913,Entry Short,Short,2024-09-26 08:30,3.82900,1,0,0.00,4.47,0.00,0.005,0.13,0,0.00
912,Exit Long,Close entry(s) order Long,2024-09-26 04:30,3.83500,1,0.03,0.68,4.47,0.00,0.03,0.74,0,0.00
912,Entry Long,Long,2024-09-25 16:30,3.80900,1,0.03,0.68,4.47,0.00,0.03,0.74,0,0.00
911,Exit Long,Close entry(s) order Long,2024-09-25 15:00,3.80900,1,0.005,0.13,4.45,0.00,0.01,0.26,0,0.00
911,Entry Long,Long,2024-09-25 09:00,3.80400,1,0.005,0.13,4.45,0.00,0.01,0.26,0,0.00
910,Exit Short,Close entry(s) order Short,2024-09-25 05:30,3.80200,1,0.03,0.68,4.44,0.00,0.03,0.71,0,0.00
910,Entry Short,Short,2024-09-24 15:30,3.82800,1,0.03,0.68,4.44,0.00,0.03,0.71,0,0.00
909,Exit Short,Close entry(s) order Short,2024-09-24 13:30,3.83000,1,0.01,0.34,4.42,0.00,0.02,0.39,0,0.00
909,Entry Short,Short,2024-09-24 10:00,3.84300,1,0.01,0.34,4.42,0.00,0.02,0.39,0,0.00
908,Exit Long,Short,2024-09-24 10:00,3.84300,1,-0.002,-0.05,4.40,0.00,0,0.00,0.002,0.05
908,Entry Long,Long,2024-09-24 09:30,3.84500,1,-0.002,-0.05,4.40,0.00,0,0.00,0.002,0.05
907,Exit Short,Close entry(s) order Short,2024-09-24 09:00,3.84200,1,-0.001,-0.03,4.41,0.00,0.001,0.03,0.001,0.03
907,Entry Short,Short,2024-09-24 08:00,3.84100,1,-0.001,-0.03,4.41,0.00,0.001,0.03,0.001,0.03
906,Exit Short,Close entry(s) order Short,2024-09-23 22:00,3.84100,1,0.01,0.21,4.41,0.00,0.01,0.29,0,0.00
906,Entry Short,Short,2024-09-23 13:30,3.84900,1,0.01,0.21,4.41,0.00,0.01,0.29,0,0.00
905,Exit Long,Close entry(s) order Long,2024-09-23 12:00,3.85400,1,0.03,0.71,4.40,0.00,0.03,0.76,0,0.00
905,Entry Long,Long,2024-09-23 09:00,3.82700,1,0.03,0.71,4.40,0.00,0.03,0.76,0,0.00
904,Exit Short,Close entry(s) order Short,2024-09-20 20:30,3.82500,1,0.01,0.16,4.37,0.00,0.01,0.23,0,0.00
904,Entry Short,Short,2024-09-20 18:30,3.83100,1,0.01,0.16,4.37,0.00,0.01,0.23,0,0.00
903,Exit Long,Close entry(s) order Long,2024-09-20 18:30,3.83300,1,-0.001,-0.03,4.37,0.00,0,0.00,0.001,0.03
903,Entry Long,Long,2024-09-20 18:30,3.83400,1,-0.001,-0.03,4.37,0.00,0,0.00,0.001,0.03
902,Exit Long,Close entry(s) order Long,2024-09-20 18:00,3.83400,1,0.01,0.13,4.37,0.00,0.01,0.21,0,0.00
902,Entry Long,Long,2024-09-20 16:00,3.82900,1,0.01,0.13,4.37,0.00,0.01,0.21,0,0.00
901,Exit Short,Long,2024-09-20 16:00,3.82900,1,-0.001,-0.03,4.36,0.00,0.003,0.08,0.001,0.03
901,Entry Short,Short,2024-09-20 15:30,3.82800,1,-0.001,-0.03,4.36,0.00,0.003,0.08,0.001,0.03
900,Exit Long,Short,2024-09-20 15:30,3.82800,1,0,0.00,4.36,0.00,0.01,0.14,0,0.00
900,Entry Long,Long,2024-09-20 10:30,3.82800,1,0,0.00,4.36,0.00,0.01,0.14,0,0.00
899,Exit Short,Close entry(s) order Short,2024-09-20 10:30,3.82600,1,0.002,0.05,4.36,0.00,0.005,0.13,0,0.00
899,Entry Short,Short,2024-09-20 09:00,3.82800,1,0.002,0.05,4.36,0.00,0.005,0.13,0,0.00
898,Exit Short,Close entry(s) order Short,2024-09-20 09:00,3.83000,1,0,0.00,4.36,0.00,0.001,0.03,0.001,0.03
898,Entry Short,Short,2024-09-20 07:00,3.83000,1,0,0.00,4.36,0.00,0.001,0.03,0.001,0.03
897,Exit Short,Close entry(s) order Short,2024-09-20 06:00,3.83100,1,0.003,0.08,4.36,0.00,0.01,0.16,0,0.00
897,Entry Short,Short,2024-09-19 19:00,3.83400,1,0.003,0.08,4.36,0.00,0.01,0.16,0,0.00
896,Exit Long,Close entry(s) order Long,2024-09-19 17:30,3.84100,1,0.01,0.37,4.36,0.00,0.02,0.42,0,0.00
896,Entry Long,Long,2024-09-19 15:30,3.82700,1,0.01,0.37,4.36,0.00,0.02,0.42,0,0.00
895,Exit Short,Close entry(s) order Short,2024-09-19 14:00,3.82100,1,0.01,0.31,4.34,0.00,0.01,0.37,0,0.00
895,Entry Short,Short,2024-09-19 11:00,3.83300,1,0.01,0.31,4.34,0.00,0.01,0.37,0,0.00
894,Exit Short,Close entry(s) order Short,2024-09-19 11:00,3.83400,1,0.02,0.42,4.33,0.00,0.02,0.44,0,0.00
894,Entry Short,Short,2024-09-19 05:00,3.85000,1,0.02,0.42,4.33,0.00,0.02,0.44,0,0.00
893,Exit Long,Close entry(s) order Long,2024-09-19 05:00,3.85500,1,0.01,0.18,4.32,0.00,0.01,0.23,0,0.00
893,Entry Long,Long,2024-09-19 03:30,3.84800,1,0.01,0.18,4.32,0.00,0.01,0.23,0,0.00
892,Exit Long,Close entry(s) order Long,2024-09-18 23:00,3.84300,1,0.02,0.47,4.31,0.00,0.02,0.52,0,0.00
892,Entry Long,Long,2024-09-18 21:30,3.82500,1,0.02,0.47,4.31,0.00,0.02,0.52,0,0.00
891,Exit Short,Close entry(s) order Short,2024-09-18 21:30,3.82100,1,0.02,0.47,4.29,0.00,0.02,0.52,0,0.00
891,Entry Short,Short,2024-09-18 20:30,3.83900,1,0.02,0.47,4.29,0.00,0.02,0.52,0,0.00
890,Exit Long,Close entry(s) order Long,2024-09-18 20:30,3.84100,1,0,0.00,4.27,0.00,0.002,0.05,0,0.00
890,Entry Long,Long,2024-09-18 20:00,3.84100,1,0,0.00,4.27,0.00,0.002,0.05,0,0.00
889,Exit Short,Long,2024-09-18 20:00,3.84100,1,-0.001,-0.03,4.27,0.00,0,0.00,0.001,0.03
889,Entry Short,Short,2024-09-18 20:00,3.84000,1,-0.001,-0.03,4.27,0.00,0,0.00,0.001,0.03
888,Exit Long,Close entry(s) order Long,2024-09-18 19:30,3.84000,1,-0.001,-0.03,4.27,0.00,0,0.00,0.001,0.03
888,Entry Long,Long,2024-09-18 19:00,3.84100,1,-0.001,-0.03,4.27,0.00,0,0.00,0.001,0.03
887,Exit Long,Close entry(s) order Long,2024-09-18 18:30,3.84100,1,0.002,0.05,4.27,0.00,0.004,0.10,0,0.00
887,Entry Long,Long,2024-09-18 17:00,3.83900,1,0.002,0.05,4.27,0.00,0.004,0.10,0,0.00
886,Exit Short,Long,2024-09-18 17:00,3.83900,1,-0.001,-0.03,4.27,0.00,0.001,0.03,0.001,0.03
886,Entry Short,Short,2024-09-18 16:00,3.83800,1,-0.001,-0.03,4.27,0.00,0.001,0.03,0.001,0.03
885,Exit Long,Short,2024-09-18 16:00,3.83800,1,-0.001,-0.03,4.27,0.00,0.004,0.10,0.001,0.03
885,Entry Long,Long,2024-09-18 15:00,3.83900,1,-0.001,-0.03,4.27,0.00,0.004,0.10,0.001,0.03
884,Exit Short,Close entry(s) order Short,2024-09-18 15:00,3.83700,1,0.01,0.13,4.27,0.00,0.01,0.21,0,0.00
884,Entry Short,Short,2024-09-18 10:00,3.84200,1,0.01,0.13,4.27,0.00,0.01,0.21,0,0.00
883,Exit Long,Close entry(s) order Long,2024-09-18 09:00,3.84800,1,0.002,0.05,4.27,0.00,0.004,0.10,0,0.00
883,Entry Long,Long,2024-09-18 03:30,3.84600,1,0.002,0.05,4.27,0.00,0.004,0.10,0,0.00
882,Exit Long,Close entry(s) order Long,2024-09-18 02:00,3.84400,1,-0.001,-0.03,4.27,0.00,0.001,0.03,0.001,0.03
882,Entry Long,Long,2024-09-18 00:30,3.84500,1,-0.001,-0.03,4.27,0.00,0.001,0.03,0.001,0.03
881,Exit Long,Close entry(s) order Long,2024-09-17 22:30,3.84400,1,0.01,0.23,4.27,0.00,0.01,0.29,0,0.00
881,Entry Long,Long,2024-09-17 16:00,3.83500,1,0.01,0.23,4.27,0.00,0.01,0.29,0,0.00
880,Exit Short,Close entry(s) order Short,2024-09-17 15:30,3.83400,1,0.004,0.10,4.26,0.00,0.01,0.20,0,0.00
880,Entry Short,Short,2024-09-17 11:30,3.83800,1,0.004,0.10,4.26,0.00,0.01,0.20,0,0.00
879,Exit Long,Close entry(s) order Long,2024-09-17 10:30,3.84500,1,0.001,0.03,4.26,0.00,0.004,0.10,0,0.00
879,Entry Long,Long,2024-09-17 09:30,3.84400,1,0.001,0.03,4.26,0.00,0.004,0.10,0,0.00
878,Exit Long,Close entry(s) order Long,2024-09-17 09:30,3.84300,1,0.003,0.08,4.25,0.00,0.01,0.14,0,0.00
878,Entry Long,Long,2024-09-16 17:00,3.84000,1,0.003,0.08,4.25,0.00,0.01,0.14,0,0.00
877,Exit Short,Close entry(s) order Short,2024-09-16 17:00,3.83900,1,0.001,0.03,4.25,0.00,0.003,0.08,0,0.00
877,Entry Short,Short,2024-09-16 15:00,3.84000,1,0.001,0.03,4.25,0.00,0.003,0.08,0,0.00
876,Exit Short,Close entry(s) order Short,2024-09-16 13:00,3.84300,1,0.02,0.41,4.25,0.00,0.02,0.44,0,0.00
876,Entry Short,Short,2024-09-16 04:00,3.85900,1,0.02,0.41,4.25,0.00,0.02,0.44,0,0.00
875,Exit Long,Short,2024-09-16 04:00,3.85900,1,-0.004,-0.10,4.23,0.00,0.002,0.05,0.004,0.10
875,Entry Long,Long,2024-09-13 21:30,3.86300,1,-0.004,-0.10,4.23,0.00,0.002,0.05,0.004,0.10
874,Exit Short,Close entry(s) order Short,2024-09-13 21:30,3.86200,1,0.004,0.10,4.24,0.00,0.01,0.20,0,0.00
874,Entry Short,Short,2024-09-13 15:30,3.86600,1,0.004,0.10,4.24,0.00,0.01,0.20,0,0.00
873,Exit Long,Short,2024-09-13 15:30,3.86600,1,-0.01,-0.13,4.23,0.00,0.001,0.03,0.01,0.13
873,Entry Long,Long,2024-09-13 13:00,3.87100,1,-0.01,-0.13,4.23,0.00,0.001,0.03,0.01,0.13
872,Exit Short,Close entry(s) order Short,2024-09-13 10:00,3.86600,1,0.01,0.34,4.24,0.00,0.01,0.38,0,0.00
872,Entry Short,Short,2024-09-12 20:30,3.87900,1,0.01,0.34,4.24,0.00,0.01,0.38,0,0.00
871,Exit Short,Close entry(s) order Short,2024-09-12 18:00,3.88400,1,0.02,0.51,4.23,0.00,0.02,0.56,0,0.00
871,Entry Short,Short,2024-09-12 11:00,3.90400,1,0.02,0.51,4.23,0.00,0.02,0.56,0,0.00
870,Exit Long,Close entry(s) order Long,2024-09-12 11:00,3.90700,1,0.01,0.26,4.21,0.00,0.01,0.31,0,0.00
870,Entry Long,Long,2024-09-12 09:30,3.89700,1,0.01,0.26,4.21,0.00,0.01,0.31,0,0.00
869,Exit Short,Close entry(s) order Short,2024-09-12 09:30,3.89500,1,-0.001,-0.03,4.20,0.00,0.002,0.05,0.001,0.03
869,Entry Short,Short,2024-09-12 06:30,3.89400,1,-0.001,-0.03,4.20,0.00,0.002,0.05,0.001,0.03
868,Exit Long,Short,2024-09-12 06:30,3.89400,1,-0.001,-0.03,4.20,0.00,0,0.00,0.001,0.03
868,Entry Long,Long,2024-09-12 04:30,3.89500,1,-0.001,-0.03,4.20,0.00,0,0.00,0.001,0.03
867,Exit Short,Long,2024-09-12 04:30,3.89500,1,-0.001,-0.03,4.20,0.00,0.003,0.08,0.002,0.05
867,Entry Short,Short,2024-09-11 21:00,3.89400,1,-0.001,-0.03,4.20,0.00,0.003,0.08,0.002,0.05
866,Exit Long,Close entry(s) order Long,2024-09-11 19:30,3.89800,1,0.01,0.36,4.20,0.00,0.02,0.41,0,0.00
866,Entry Long,Long,2024-09-11 15:30,3.88400,1,0.01,0.36,4.20,0.00,0.02,0.41,0,0.00
865,Exit Short,Long,2024-09-11 15:30,3.88400,1,-0.002,-0.05,4.19,0.00,0.002,0.05,0.002,0.05
865,Entry Short,Short,2024-09-11 14:00,3.88200,1,-0.002,-0.05,4.19,0.00,0.002,0.05,0.002,0.05
864,Exit Long,Short,2024-09-11 14:00,3.88200,1,0.002,0.05,4.19,0.00,0.01,0.15,0,0.00
864,Entry Long,Long,2024-09-11 11:30,3.88000,1,0.002,0.05,4.19,0.00,0.01,0.15,0,0.00
863,Exit Short,Close entry(s) order Short,2024-09-11 10:30,3.87600,1,-0.001,-0.03,4.19,0.00,0.001,0.03,0.001,0.03
863,Entry Short,Short,2024-09-11 10:00,3.87500,1,-0.001,-0.03,4.19,0.00,0.001,0.03,0.001,0.03
862,Exit Short,Close entry(s) order Short,2024-09-11 10:00,3.87600,1,0.01,0.18,4.19,0.00,0.01,0.26,0.002,0.04
862,Entry Short,Short,2024-09-10 22:30,3.88300,1,0.01,0.18,4.19,0.00,0.01,0.26,0.002,0.04
861,Exit Long,Close entry(s) order Long,2024-09-10 18:00,3.88500,1,0,0.00,4.18,0.00,0.003,0.07,0,0.00
861,Entry Long,Long,2024-09-10 16:30,3.88500,1,0,0.00,4.18,0.00,0.003,0.07,0,0.00
860,Exit Long,Close entry(s) order Long,2024-09-10 16:00,3.88200,1,0.01,0.18,4.18,0.00,0.01,0.23,0,0.00
860,Entry Long,Long,2024-09-10 11:00,3.87500,1,0.01,0.18,4.18,0.00,0.01,0.23,0,0.00
859,Exit Short,Close entry(s) order Short,2024-09-10 10:30,3.87300,1,-0.001,-0.03,4.17,0.00,0.001,0.03,0.001,0.03
859,Entry Short,Short,2024-09-10 09:30,3.87200,1,-0.001,-0.03,4.17,0.00,0.001,0.03,0.001,0.03
858,Exit Long,Short,2024-09-10 09:30,3.87200,1,-0.002,-0.05,4.17,0.00,0.002,0.05,0.002,0.05
858,Entry Long,Long,2024-09-10 03:00,3.87400,1,-0.002,-0.05,4.17,0.00,0.002,0.05,0.002,0.05
857,Exit Short,Close entry(s) order Short,2024-09-09 21:30,3.87000,1,0.002,0.05,4.18,0.00,0.01,0.15,0,0.00
857,Entry Short,Short,2024-09-09 19:00,3.87200,1,0.002,0.05,4.18,0.00,0.01,0.15,0,0.00
856,Exit Long,Short,2024-09-09 19:00,3.87200,1,-0.003,-0.08,4.17,0.00,0,0.00,0.003,0.08
856,Entry Long,Long,2024-09-09 18:30,3.87500,1,-0.003,-0.08,4.17,0.00,0,0.00,0.003,0.08
855,Exit Short,Close entry(s) order Short,2024-09-09 18:00,3.87400,1,0.001,0.03,4.18,0.00,0.01,0.15,0,0.00
855,Entry Short,Short,2024-09-09 14:30,3.87500,1,0.001,0.03,4.18,0.00,0.01,0.15,0,0.00
854,Exit Long,Close entry(s) order Long,2024-09-09 14:30,3.87600,1,0,0.00,4.18,0.00,0.003,0.08,0,0.00
854,Entry Long,Long,2024-09-09 13:00,3.87600,1,0,0.00,4.18,0.00,0.003,0.08,0,0.00
853,Exit Short,Long,2024-09-09 13:00,3.87600,1,-0.005,-0.13,4.18,0.00,0.001,0.03,0.005,0.13
853,Entry Short,Short,2024-09-09 12:00,3.87100,1,-0.005,-0.13,4.18,0.00,0.001,0.03,0.005,0.13
852,Exit Long,Close entry(s) order Long,2024-09-09 12:00,3.87400,1,0.01,0.26,4.18,0.00,0.01,0.32,0,0.00
852,Entry Long,Long,2024-09-09 07:30,3.86400,1,0.01,0.26,4.18,0.00,0.01,0.32,0,0.00
851,Exit Long,Close entry(s) order Long,2024-09-09 02:00,3.86200,1,0.001,0.03,4.17,0.00,0.005,0.12,0,0.00
851,Entry Long,Long,2024-09-06 18:30,3.86100,1,0.001,0.03,4.17,0.00,0.005,0.12,0,0.00
850,Exit Short,Long,2024-09-06 18:30,3.86100,1,-0.005,-0.13,4.17,0.00,0,0.00,0.005,0.13
850,Entry Short,Short,2024-09-06 18:30,3.85600,1,-0.005,-0.13,4.17,0.00,0,0.00,0.005,0.13
849,Exit Long,Close entry(s) order Long,2024-09-06 17:30,3.85900,1,0.01,0.26,4.17,0.00,0.01,0.34,0,0.00
